-BenFranklin-,680.92,USDT,11524742965182492672,Payeer
fast__obmen,89.00,USDT,11520125171559096320,Advcash
olga_bestprice,657.58,USDT,11524812864919891968,Advcash
Kriptosindicat,243.59,USDT,11521958838351101952,Payeer
BimBo0,368.15,USDT,11524270728851283968,Payeer
P2P_Funding,37.27,USDT,11525875160533676032,Payeer
Criptowindy,427.14,USDT,11522960787753992192,Advcash
Zhukovski,159.84,USDT,11525472277206093824,Payeer
gheka,183.10,USDT,11523543651324067840,Payeer
MEOW_BTC,590.34,USDT,11525515433395937280,RosBank
Michelandjelo,2708.27,USDT,11525886970535235584,RosBank
Maratt_1,6726.74,USDT,11525924585893965824,RosBank
DwayneDurakJohnson,5126.59,USDT,11525415005225295872,Raiffeisenbank
abraham-lincoln,918.09,USDT,11525916677344940032,Raiffeisenbank
Alinsann,6344.78,USDT,11510366017012629504,Raiffeisenbank
Mafiya,3165.04,USDT,11505890520727683072,RosBank
DOBRO_300,441.83,USDT,11517986313088770048,Raiffeisenbank
ollieraxmon,8400.09,USDT,11525937759936860160,Raiffeisenbank
GARIKD1212,4430.35,USDT,11515609819140984832,RosBank
Nii_bi77,10642.90,USDT,11525444599694331904,RosBank
Nast_banan,879.33,USDT,11525915776977649664,Raiffeisenbank
FinRocket,4782.22,USDT,11477751483087470592,RosBank
chassie,1917.88,USDT,11478335721013174272,Raiffeisenbank
Crypto_exchange_0001,8567.97,USDT,11398898997825597440,RosBank
Yakush_11,351.29,USDT,11525867857567301632,Raiffeisenbank
AnarkezJJ,1798.20,USDT,11524661191040843776,RosBank
abu_Amir19,842.00,USDT,11525908570216353792,Raiffeisenbank
p2p_ASAP,6772.54,USDT,11477146110054608896,RosBank
Sanek_P2P,7364.97,USDT,11523688059560828928,RosBank
CryptooMagnat,905.91,USDT,11525898257472143360,RosBank
Tihiro,124.92,USDT,11485575650636980224,RosBank
ChargeBit2,2165.48,USDT,11525848690843246592,Raiffeisenbank
alrossa1,1705.61,USDT,11525927882249793536,Raiffeisenbank
DiamoonD,13315.44,USDT,11524716139012730880,Raiffeisenbank
Maximus787,800.69,USDT,11522467150766047232,Raiffeisenbank
daccord_01,6302.14,USDT,11525936387404288000,RosBank
vabur,715.55,USDT,11425106450955087872,RosBank
vzimvmv,3739.01,USDT,11525910788443172864,RosBank
sinaroza,8492.70,USDT,11525927912240635904,Raiffeisenbank
TheSameMAZHOR,5369.70,USDT,11519420138056433664,Raiffeisenbank
LACOSTE_111,4957.68,USDT,11525540811887452160,RosBank
IRISHKA_chiki_piki,388.18,USDT,11514643188335214592,RosBank
shan06,1044.09,USDT,11490750552673169408,RosBank
RealityRift,223.79,USDT,11524660057632489472,Raiffeisenbank
CORP_UMBRA,6389.76,USDT,11501628836518768640,Tinkoff
Cripto_valutka,7663.02,USDT,11525934957704736768,Tinkoff
AdelDecentFast,3539.01,USDT,11525904694994591744,Raiffeisenbank
Dozar,1080.80,USDT,11510925402852241408,RosBank
Ak_Bars,1978.68,USDT,11501714979648229376,Tinkoff
464751057,3373.77,USDT,11525039613556252672,Tinkoff
Whiteghost23,8485.67,USDT,11525934758187741184,Tinkoff
PrizeMan,621.88,USDT,11449668827711995904,Tinkoff
llenochka,616.69,USDT,11499280435406028800,Tinkoff
nik738,11037.95,USDT,11525917296875347968,RosBank
CRYPTO_DEALER_P2P,1241.29,USDT,11525878131531886592,Raiffeisenbank
Lyk_uH,697.86,USDT,11525891500207493120,RosBank
Classic9,2607.67,USDT,11467222996607746048,Tinkoff
Abramovkin,4281.96,USDT,11509206031887360000,Tinkoff
florgesss,1991.00,USDT,11498102617061113856,Tinkoff
_-Online-24_7-_,4214.66,USDT,11525900706948235264,Raiffeisenbank
Alievkk,24.81,USDT,11523025231611711488,RosBank
_Broker535,19169.48,USDT,11488176465113993216,Tinkoff
Adelchi,349.94,USDT,11458472604563619840,Tinkoff
truuuu,149.87,USDT,11525144347983613952,RosBank
lari2608,269.52,USDT,11525931523587575808,RosBank
USDT_777,1635.66,USDT,11512185617071882240,Tinkoff
stone_01,9620.04,USDT,11525936801567547392,Tinkoff
Threehome1,1584.86,USDT,11525452595211255808,Tinkoff
OOOKabanchikom19,2912.50,USDT,11525218587178360832,Tinkoff
abuhanifaa,96.66,USDT,11525852644201234432,RosBank
P2P_Mama,107.84,USDT,11514127289433223168,Tinkoff
PhoenixTrade,13073.12,USDT,11511049689141043200,Tinkoff
EagleExchange,4265.95,USDT,11483980118500524032,Tinkoff
1000111010110011,757.63,USDT,11525435550398328832,RosBank
RBro,1104.89,USDT,11525534179475021824,Tinkoff
GRITHER_INVEST-TEAM3,3905.94,USDT,11524336297867042816,RosBank
brokercracker,2508.23,USDT,11493320792295387136,Tinkoff
Magas888,3459.12,USDT,11518547751530569728,BCS Bank
tur_ko,8664.37,USDT,11525935587768623104,Tinkoff
abu_Halid,36.84,USDT,11525928267700154368,RosBank
amirbek347,474.55,USDT,11525929929680691200,RosBank
BITMAKERBOB,285.23,USDT,11525755382415986688,Tinkoff
Classic,8495.75,USDT,11442151455594283008,Tinkoff
13MAY,8626.89,USDT,11513156027290513408,Tinkoff
,149.85,USDT,11525939714497167360,RosBank
VanHe1sing,1068.46,USDT,11509083027343687680,Tinkoff
R2_CryptoTrade,2394.92,USDT,11484155669819940864,Tinkoff
Assolll,636.92,USDT,11510215080255311872,Tinkoff
Vaytec,100.89,USDT,11525939935877611520,RosBank
KlausTrade,379.97,USDT,11522965925742014464,Tinkoff
Saphier,768.65,USDT,11506762867022196736,Tinkoff
Infinity_PROFIT,149.75,USDT,11524785082136666112,RosBank
N1GEL,373.17,USDT,11515236477590298624,RosBank
MOMENTAX,378.01,USDT,11514336925537767424,Raiffeisenbank
Fairsale33,520.27,USDT,11525874065857335296,RosBank
javva96,39.27,USDT,11525913249909067776,RosBank
onlyStart,37396.20,USDT,11472580529410211840,Tinkoff
Merchant Boss,12252.83,USDT,11520196916590542848,Raiffeisenbank
_BOSS-CRYPTO_,3923.66,USDT,11525755453328986112,Tinkoff
Adam,116.93,USDT,11519585075582611456,Tinkoff
sharifsaidov,5779.40,USDT,11525894365027844096,RosBank
ksu9999,76.11,USDT,11525148260507484160,Raiffeisenbank
DimDimbl4,975.22,USDT,11525919596251471872,Home Credit Bank (Russia)
Oobmen,2398.32,USDT,11517812068041773056,RosBank
Ð2ð_îáìåí_dian,3136.60,USDT,11513152974440890368,Advcash
milian00,311.79,USDT,11525919065143177216,Tinkoff
Gretskiy,10537.81,USDT,11524731068120440832,Tinkoff
Iliya22,1071.15,USDT,11525612878043516928,Tinkoff
cryptoman46,1083.17,USDT,11503765863805702144,RosBank
AmurCrypto,2006.21,USDT,11525123838321233920,Advcash
NeVeroNIKA,2390.30,USDT,11520158363506528256,RosBank
crypto_pravoslav,749.25,USDT,11524137233178705920,Raiffeisenbank
maks95,2997.00,USDT,11525490756520349696,Tinkoff
Dake_IronCard,5227.24,USDT,11524255173067325440,RosBank
BlackEagle_R,44982.64,USDT,11518361374754410496,Tinkoff
optimumm,85.54,USDT,11525838221144211456,Tinkoff
halilulaev,1406.78,USDT,11525661146149240832,Tinkoff
RazikAl,4201.48,USDT,11525707323676508160,Tinkoff
Abu_yusuf11,1601.25,USDT,11525869364685508608,RosBank
MTV03,21.20,USDT,11519643945522925568,Tinkoff
,1035.42,USDT,11522280273449783296,Tinkoff
Doof2430,174.91,USDT,11525865337022287872,Raiffeisenbank
romanson113,130.99,USDT,11525928558254641152,Tinkoff
Moneygeren,6571.35,USDT,11518283048938016768,Tinkoff
BorzCrypto095,337.21,USDT,11525933902697992192,Raiffeisenbank
Denchikdon,356.20,USDT,11525766096171327488,RosBank
daniji,3113.78,USDT,11525914662706929664,RosBank
PlanB,20626.04,USDT,11502351631928143872,Tinkoff
_Magnum_,127.42,USDT,11525755457916571648,Tinkoff
shamiltorg,120.90,USDT,11525088266530816000,Tinkoff
d_ex4,2498.00,USDT,11521932921968984064,Home Credit Bank (Russia)
blessed2024,60.69,USDT,11525914057065947136,Tinkoff
Faha_king,82.28,USDT,11525915379380338688,Tinkoff
tulab_haramain,149.85,USDT,11520732282557423616,RosBank
Rony2777,10.26,USDT,11524975480672636928,Tinkoff
millionfirst1000001,4732.66,USDT,11518599269309136896,Raiffeisenbank
AleksPravda,785.81,USDT,11451094746000719872,Tinkoff
AIRchange,20547.37,USDT,11518568447031812096,Tinkoff
Áîá¸ð,4492.50,USDT,11524882754113241088,RosBank
Fsamirka,9989.44,USDT,11525939864820023296,RosBank
Dianss,15051.55,USDT,11453396451325538304,RosBank
SwapGood,1185.14,USDT,11509084618462777344,Tinkoff
95IVAN,495.65,USDT,11512337652289622016,Tinkoff
Fittas,470.67,USDT,11510903018048446464,Tinkoff
Sharifobidov27031992,1387.99,USDT,11525879729279938560,RosBank
HUNTERexchanger,309.72,USDT,11508433169295073280,Tinkoff
opTimict13,22045.24,USDT,11514204886301356032,Raiffeisenbank
aza1_p2p,136.64,USDT,11525631024293937152,Tinkoff
Adigo,3167.57,USDT,11514891867106717696,Raiffeisenbank
SAAD_100_,1356.01,USDT,11525366037847638016,Tinkoff
SIMMENS-3,135.85,USDT,11525005845077848064,Ak Bars Bank
batyA,686.25,USDT,11495811324124745728,Tinkoff
heaven69,123.72,USDT,11525910441171353600,Tinkoff
marik,1555.07,USDT,11524676567733673984,Ak Bars Bank
Bit_Berry,628.06,USDT,11492996531878203392,MTS-Bank
Bananas0,599.40,USDT,11525155266016608256,RosBank
iktorichka,1175.07,USDT,11514259376254283776,RosBank
SaifuLlah88,1218.74,USDT,11525177073714339840,RosBank
3llians,8080.74,USDT,11523615161633071104,Raiffeisenbank
sano010590,96.86,USDT,11525760415227678720,Tinkoff
zasibanp2p,38.94,USDT,11525084937073209344,Raiffeisenbank
Leks-1000000,177.85,USDT,11525797687666655232,RosBank
SixOneSix,415.08,USDT,11525723427343798272,Tinkoff
criptoNata10,1008.99,USDT,11514347519135584256,RosBank
freemn,2096.90,USDT,11525909259999461376,Tinkoff
no_off,99.90,USDT,11525148791736639488,Tinkoff
skht1,356.22,USDT,11525909565804630016,Tinkoff
MorizTorez,159.84,USDT,11398912476860674048,Tinkoff
CleanSky,249.75,USDT,11525729906332184576,Tinkoff
Khamlet89,191.48,USDT,11525370931449753600,RosBank
EAZ87,731.59,USDT,11514310282020921344,RosBank
IV1972,96.35,USDT,11517910229359497216,Tinkoff
Maximum,1969.92,USDT,11332220466514374656,RosBank
cryptogima,19094.90,USDT,11524449630093631488,Raiffeisenbank
__H__M__H__,184.07,USDT,11522606587488858112,Uralsib Bank
Babyboom,113.61,USDT,11503452682258534400,Tinkoff
shahboz0888,2019.25,USDT,11525382281257074688,RosBank
FILIN,1817.19,USDT,11510899798235230208,Tinkoff
Fytbolist 2022,2497.50,USDT,11398884754590797824,RosBank
Dos10nP2P,31.42,USDT,11525634059707822080,RosBank
solarium,227.09,USDT,11525370953182642176,RosBank
Bratishhhka,16322.85,USDT,11514952922098409472,RosBank
irdal,161.34,USDT,11517897224616247296,MTS-Bank
R1_CryptoTrade,6586.81,USDT,11525811607224008704,Raiffeisenbank
nina2000,245.16,USDT,11525620159444107264,RosBank
MARK-01--,666.25,USDT,11521781352867254272,MTS-Bank
JohnGalt-p2p,299.70,USDT,11519039002035503104,Russian Standard Bank
KisaMoney,8385.45,USDT,11521756660191891456,Raiffeisenbank
SWT_G,199.80,USDT,11521168962173751296,Raiffeisenbank
EasyMoney,6968.77,USDT,11525400354915696640,RosBank
MENIAYLEGKO,3997.08,USDT,11521434525096136704,Post Bank
Alexxx,52.62,USDT,11525722347783458816,RosBank
mannish_world,556.24,USDT,11524682631439806464,RosBank
peterburger,680.63,USDT,11515821180491980800,Bank Saint-Petersburg
Marisa233,720.87,USDT,11525517475475693568,RosBank
Platon2x2,1152.40,USDT,11523573808645582848,Raiffeisenbank
LadyofTrading,4049.55,USDT,11525630023364218880,RosBank
Co-P2P,4843.30,USDT,11523365289016229888,Raiffeisenbank
Scorpion_666,18831.43,USDT,11517897357607194624,RosBank
tixoonya,727.40,USDT,11525421350304645120,Tinkoff
SBP_RF_Lyboy_bank,424.27,USDT,11525926717008814080,Bank Saint-Petersburg
vladbelov12,265.02,USDT,11481053929006202880,RosBank
MARK-01--,109.91,USDT,11525452023507939328,BCS Bank
VitaliX_trade,999.00,USDT,11515233590147026944,RosBank
Radik_e,168.58,USDT,11525647758599970816,Ak Bars Bank
gangster66,9973.11,USDT,11524703870739636224,RosBank
Y_R_A_X_A__P2P_888,257.74,USDT,11525333700907155456,MTS-Bank
kameelek,91.61,USDT,11396377671541497856,Tinkoff
Tihiro,3986.66,USDT,11523733056324521984,RosBank
1Exch,11204.15,USDT,11525612899817562112,RosBank
GuruV,636.89,USDT,11522283893878882304,RosBank
Akul_Abdul,109.89,USDT,11473228588161445888,RosBank
Syslik_forever,308.69,USDT,11506828573244772352,Tinkoff
criptooooo,352.69,USDT,11525615959852859392,Tinkoff
ODEALO,361.71,USDT,11524779119690059776,Raiffeisenbank
shytnik,291.84,USDT,11512939789480890368,RosBank
krill2005,105.89,USDT,11525920628363366400,Þmoney
MOREMAN_1,137.22,USDT,11517765787141373952,RosBank
slyzet,79.27,USDT,11525928119330652160,Þmoney
deltatrader200,109.29,USDT,11523753960412463104,Tinkoff
Rol,2719.05,USDT,11402113824331104256,RosBank
CryptoAlldan,4073.01,USDT,11517885758531440640,Raiffeisenbank
wLAGER,1257.50,USDT,11521580302219694080,Renaissance Credit Bank
mentalswap,3596.40,USDT,11525420154843881472,Tinkoff
t0rt1k,136.66,USDT,11525821797138829312,Post Bank
Crypto_BEST,188.49,USDT,11477642605531901952,Þmoney
Tigr_arturovich,1770.52,USDT,11525822380924166144,Þmoney
bestcoin,307.69,USDT,11475897353177313280,Þmoney
,101.59,USDT,11525068186558304256,Renaissance Credit Bank
qaynoshka,12.27,USDT,11525903409093517312,QIWI
QwertyThree,362.03,USDT,11525903420597280768,Þmoney
shahruz_p2p,274.75,USDT,11525930628680765440,QIWI
a1-exchange,211.95,USDT,11525921330615083008,Þmoney
yatoroGot,101.67,USDT,11525922096559136768,QIWI
ArCry,419.47,USDT,11522196095303811072,QIWI
TipTop_Obmen,610.14,USDT,11525016375835635712,Uralsib Bank
Byzance,184.78,USDT,11525930235374149632,QIWI
Ingalovemax,646.89,USDT,11518449817318633472,Ak Bars Bank
GalinaGB,63.53,USDT,11524993798338854912,Tinkoff
midagaymard,352.55,USDT,11518567288480444416,QIWI
QsR,1257.46,USDT,11524825411883237376,QIWI
Èëåç777,359.73,USDT,11515316653016535040,Tinkoff
,1134.87,USDT,11524822169297645568,QIWI
Promos,323.24,USDT,11525156875338797056,MTS-Bank
elf_ring,202.56,USDT,11525890942156095488,RosBank
JP trading,1048.95,USDT,11510537846551175168,RosBank
181101OROZ,301.93,USDT,11525435743942144000,RosBank
Parvizz2322,42.85,USDT,11524424585708531712,RosBank
MoskowTown,1426.79,USDT,11525716182917378048,Þmoney
Kotik_Irishka,417.72,USDT,11524945352213295104,Tinkoff
RED_DEVILS,21042.06,USDT,11420756573733404672,Tinkoff
Pellegrino23,6526.06,USDT,11516805450350096384,RosBank
Bear777,105.06,USDT,11524710285473902592,RosBank
Wall Street,436.48,USDT,11517973243226001408,MTS-Bank
GooD_GOOSE,499.60,USDT,11518531190545330176,Þmoney
CRYPTOCITI,730.12,USDT,11524842106443137024,QIWI
BergmannGroup,856.90,USDT,11523689406963707904,QIWI
Obmen_MIG,99.90,USDT,11424378723701989376,RosBank
Medic97,494.14,USDT,11525343682987614208,QIWI
Up2pTrade,100.20,USDT,11524921137957482496,RosBank
p2p_Without3rdSide,100.00,USDT,11523523306267729920,MTS-Bank
CryptoDaur,236.09,USDT,11525660808767070208,QIWI
ududaev,7724.54,USDT,11525184560429244416,RosBank
13122017,790.75,USDT,11522829962549440512,Tinkoff
Ariometr,296.70,USDT,11523290901116923904,RosBank
afarin74,299.70,USDT,11524794677813288960,Tinkoff
race,99.90,USDT,11462306706482733056,Tinkoff
KhChange,311.49,USDT,11523359666014302208,Tinkoff
,105.09,USDT,11525671916340162560,QIWI
AbuBakar777,2220.77,USDT,11519692890867802112,QIWI
TimMingis,196.37,USDT,11525914168506687488,Þmoney
VerIgoSPb,150.47,USDT,11525928694905294848,Þmoney
oper_717,73.61,USDT,11525935345164111872,QIWI
_AirSeller_,2097.90,USDT,11525873232880513024,Ak Bars Bank
MahmoudAli23,967.45,USDT,11517503277794689024,RosBank
CashFlow,120.61,USDT,11449476373730250752,Tinkoff
Magdanlycom,1950.94,USDT,11496710523669241856,Tinkoff
Knager2112,274.72,USDT,11525900281751068672,QIWI
M-234com,1998.00,USDT,11524724803493871616,RosBank
fors4a_2004,292.15,USDT,11524784415223652352,RosBank
Mikhail,1000.00,USDT,11454742391772209152,Tinkoff
KUSH31,1057.30,USDT,11525845990995738624,RosBank
P2Ola,16915.90,USDT,11525845646766198784,QIWI
artem84rhyma,999.00,USDT,11513056384448524288,Payeer
RenBro,7494.75,USDT,11525419175614570496,Tinkoff
Sabi_Exchange,6094.68,USDT,11518653240072880128,Post Bank
Voloha,7496.25,USDT,11512540976008802304,Home Credit Bank (Russia)
RyZeCrypt,6044.78,USDT,11525869173288427520,QIWI
lepinho,1002.90,USDT,11510778322609946624,Tinkoff
Sazuri,295.98,USDT,11524616302047465472,Tinkoff
milka1999,3996.00,USDT,11524395055158747136,Tinkoff
Gaskonec,638.21,USDT,11517908534384107520,Credit Europe Bank (Russia)
oool,302.48,USDT,11524650477829570560,QIWI
1bnb1,12900.11,USDT,11525868864003448832,Raiffeisenbank
darkfather13,440.11,USDT,11525186053103321088,QIWI
premier2023,102.35,USDT,11523758400695246848,Raiffeisenbank
tdvk,17.97,USDT,11525519849694167040,RosBank
gt4,999.00,USDT,11502671759589294080,QIWI
Direktor,116.89,USDT,11514616682510360576,Þmoney
Spiritusss,99.90,USDT,11525937200409141248,Þmoney
Spiritusss,99.90,USDT,11525937200409141248,Þmoney
RoYaLTi_fia,201.00,USDT,11524722196162564096,Tinkoff
ZavaroBTC,1634.72,USDT,11525498375942672384,RosBank
Serhio-007,109.90,USDT,11524608739790299136,RosBank
Vilulet,272.88,USDT,11525894610245500928,QIWI
isma-05,2350.50,USDT,11519246775343927296,Tinkoff
Malik-Raja,434.04,USDT,11525149453227683840,QIWI
Bull-174,225.15,USDT,11513092315841282048,Tinkoff
HonestExchanger2,246.47,USDT,11525406265579941888,Þmoney
,263.32,USDT,11523674470253518848,QIWI
Gomumy,272.19,USDT,11517910408067100672,Tinkoff
Vildan89,27.53,USDT,11522099192516907008,Raiffeisenbank
DR_AHMED_USDT,99.92,USDT,11522869952191422464,Tinkoff
Zmeuka,728.27,USDT,11510559838860038144,RosBank
,197.36,USDT,11523364669951664128,Tinkoff
DaddySam637,175.38,USDT,11523367661694644224,Post Bank
Kriptovalyta2,149.85,USDT,11485529664384806912,Tinkoff
KiVi13,4994.58,USDT,11525753765857091584,Raiffeisenbank
kurban_008,1489.25,USDT,11525832531348918272,QIWI
profSayed,172.41,USDT,11524735191744671744,RosBank
Djangarov,224.08,USDT,11525938753979527168,Airtime Mobile Top-Up
kript7,476.64,USDT,11524364568292876288,Tinkoff
Obmen24_7,565.89,USDT,11524183264658067456,MTS-Bank
khasaev5555,6581.52,USDT,11518895772660027392,Raiffeisenbank
Marselle_bbx,825.24,USDT,11519168306752819200,Tinkoff
BestpriceXchange,144.98,USDT,11525279733032206336,QIWI
den_ns,781.13,USDT,11523340734255398912,Ak Bars Bank
exchange815,499.50,USDT,11525857242865750016,QIWI
Imam849,114.60,USDT,11510606862486417408,Tinkoff
Exitoso_Ir,73.17,USDT,11521720113083813888,Tinkoff
WhiteEagl,9995.00,USDT,11522495795081175040,Tinkoff
rez50,99.90,USDT,11524814000664653824,Þmoney
Roman,1019.34,USDT,11485219137281376256,Tinkoff
Bystrik1434,176.48,USDT,11520072767032430592,Þmoney
CRYPTO-TOP1,72.35,USDT,11518441473126244352,Advcash
Ahiles,816.14,USDT,11519797580268429312,Raiffeisenbank
__MILASHKA_DJOLIE__,1619.47,USDT,11513130747604066304,Post Bank
LifeKURS,1360.21,USDT,11525345734874476544,Tinkoff
Tatarwin,93.44,USDT,11525933407087558656,QIWI
joseph03,139.44,USDT,11525041325455421440,QIWI
CoinChanger777,885.82,USDT,11524750295845773312,QIWI
p2p_gigant,1814.22,USDT,11524658446245945344,MTS-Bank
Slavnenko,554.55,USDT,11517813840937811968,Ak Bars Bank
,517.63,USDT,11523334577985966080,Tinkoff
yankovskiy,6844.12,USDT,11512100071021469696,RosBank
Commissar95,41.83,USDT,11524232628996952064,RosBank
DJUMA,2633.84,USDT,11505693680592285696,MTS-Bank
anverman,106.39,USDT,11520776574353727488,Tinkoff
Firdavs0707,99.90,USDT,11525428183569088512,Tinkoff
Yandex_Monka,4650.58,USDT,11521846702431428608,QIWI
BINDEALER,2298.92,USDT,11522145750507687936,QIWI
H2O-PEKA_MOPE_OKEAH,299.70,USDT,11509617275385053184,Airtime Mobile Top-Up
katrin_2906,617.41,USDT,11524876978420543488,QIWI
skotobazza,75.66,USDT,11497628425340895232,Advcash
ti_zahodi_ecli_4e,11.76,USDT,11525480246236385280,Tinkoff
Cvetochek7,654.49,USDT,11512783807447064576,QIWI
RedSnout,117.63,USDT,11417837888622837760,MTS-Bank
-PRINCE-,4996.50,USDT,11522763490033065984,Tinkoff
Jo_Black,218.10,USDT,11517962725455073280,Ak Bars Bank
Bitobmen,7494.00,USDT,11524426266185748480,RosBank
Seners,2797.20,USDT,11518151165524942848,BCS Bank
AViS,399.17,USDT,11497283927214399488,Þmoney
CryptoMan95,520.81,USDT,11522779817201188864,Airtime Mobile Top-Up
MoneyMaker,440.00,USDT,11515234188339830784,Home Credit Bank (Russia)
des43,99.90,USDT,11487440290233008128,Tinkoff
Sashasp,96.09,USDT,11520706433307856896,Tinkoff
SlevinK77,321.90,USDT,11497186035074277376,RosBank
donnell64waelchi64,8.15,USDT,11459094716454834176,RosBank
sanya,899.73,USDT,11518171325104840704,RosBank
DEPO-HUB,171.48,USDT,11521086220621688832,Home Credit Bank (Russia)
nk1994,133.62,USDT,11489655698506985472,Þmoney
KrYptHart,107.99,USDT,11525115252302012416,QIWI
Slavnenko,1538.04,USDT,11517822418059968512,Bank Saint-Petersburg
CryptoAlldan,2798.04,USDT,11517885034406055936,UniCredit
HiGoG,1356.95,USDT,11523585403583131648,RosBank
fast_order_v1,249.80,USDT,11522148680455946240,Tinkoff
sogdianaa,1142.29,USDT,11507694997780307968,Tinkoff
dobriyak,29962.28,USDT,11523773387398770688,RosBank
CryptoAlldan,5387.90,USDT,11517884529383571456,Þmoney
PRO_FESSIONAL,5241.14,USDT,11513947627327832064,Tinkoff
-PRINCE-,4996.50,USDT,11522763078018277376,Ak Bars Bank
ExchangeOfficial,6293.70,USDT,11511319008084164608,RosBank
GorelAN,130.16,USDT,11519660440376258560,Þmoney
-PRINCE-,4996.50,USDT,11515489222937313280,Post Bank
FastChange,971.29,USDT,11519569634879938560,QIWI
GoodXchange,99.90,USDT,11495876531428868096,Þmoney
Diplodoc,3864.34,USDT,11509556516041805824,Tinkoff
FastChange,141.39,USDT,11519568068344365056,Payeer
Maximum,664.34,USDT,11439866907582046208,QIWI
KRIPTICA,2056.12,USDT,11517838041735995392,Tinkoff
VikentiTihomirov,1648.35,USDT,11522136642997018624,Tinkoff
Cosmos,582.41,USDT,11507984678794940416,Þmoney
Lunacash0_0,109.11,USDT,11523626278825623552,BCS Bank
